FID,District,County,Route,Direction,Accidents,Lanes,Access1,Limited,AccessNum,AccessType,RoadWidth,LaneWidth,InnerShoulderWidth,InnerShoulderTreatedWidth,OuterShoulderWidth,OuterShoulderTreatedWidth,DesignSpeedLimit,InnerMedianWidth,Terrain,Barrier,Surface
571,7,LA,170,N,1,1,2,1,1,buffer,55,13.8,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
572,7,LA,170,N,0,1,2,1,2,mix,35,11.7,0,0,0,0,55,10,Flat,No Barriers,Base & Surface
573,7,LA,170,N,37,1,2,1,1,buffer,55,13.8,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
574,7,LA,170,N,1,1,2,1,1,buffer,35,11.7,0,0,0,0,55,10,Flat,No Barriers,Base & Surface
575,7,LA,170,N,0,1,1,0,2,mix,55,13.8,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
576,7,LA,170,S,27,1,2,1,1,buffer,35,11.7,0,0,8,8,55,0,Flat,No Barriers,Base & Surface
577,7,LA,170,S,0,1,2,1,1,buffer,45,11.3,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
578,7,LA,170,S,21,1,2,1,1,buffer,45,11.3,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
579,7,LA,170,S,0,1,2,1,1,buffer,35,11.7,0,0,8,8,55,0,Flat,No Barriers,Base & Surface
580,7,LA,170,S,1,1,1,0,2,mix,45,11.3,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
581,7,LA,170,S,1,1,2,1,1,buffer,35,11.7,0,0,8,8,55,0,Flat,No Barriers,Base & Surface
582,7,LA,170,S,0,1,2,1,1,buffer,35,11.7,0,0,8,8,55,0,Flat,No Barriers,Base & Surface
583,7,LA,170,S,0,1,2,1,2,mix,45,11.3,2,2,0,0,70,4,Flat,Concrete Barrier,Concrete
584,7,LA,210,E,0,1,2,1,1,buffer,70,11.7,2,2,10,10,70,56,Flat,Concrete Barrier,Concrete
585,7,LA,210,E,0,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
586,7,LA,210,E,0,1,2,1,1,buffer,57,11.4,2,2,8,8,70,56,Flat,Concrete Barrier,Bridge Deck
587,7,LA,210,E,0,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Concrete Barrier,Base & Surface
588,7,LA,210,E,0,1,2,1,2,mix,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
589,7,LA,210,E,13,1,2,1,1,buffer,60,12,12,12,10,10,70,66,Flat,Concrete Barrier,Concrete
590,7,LA,210,E,45,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
591,7,LA,210,E,81,1,2,1,1,buffer,68,11.3,3,3,7,7,70,18,Flat,Concrete Barrier,Concrete
592,7,LA,210,E,2,1,2,1,1,buffer,70,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
593,7,LA,210,E,2,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
594,7,LA,210,E,39,1,2,1,1,buffer,69,11.5,2,2,10,10,70,50,Flat,Concrete Barrier,Concrete
595,7,LA,210,E,3,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
596,7,LA,210,E,4,1,2,1,1,buffer,68,11.3,3,3,7,7,70,18,Flat,Concrete Barrier,Concrete
597,7,LA,210,E,23,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
598,7,LA,210,E,92,1,2,1,3,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
599,7,LA,210,E,0,1,2,1,2,mix,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Bridge Deck
600,7,LA,210,E,0,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
601,7,LA,210,E,2,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
602,7,LA,210,E,2,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
603,7,LA,210,E,3,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
604,7,LA,210,E,7,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
605,7,LA,210,E,14,1,2,1,2,mix,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Concrete
606,7,LA,210,E,20,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
607,7,LA,210,E,28,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
608,7,LA,210,E,0,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
609,7,LA,210,E,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
610,7,LA,210,E,1,1,1,0,3,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
611,7,LA,210,E,6,1,1,0,2,mix,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Bridge Deck
612,7,LA,210,E,7,1,2,1,1,buffer,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Bridge Deck
613,7,LA,210,E,32,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
614,7,LA,210,E,0,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
615,7,LA,210,E,0,1,1,0,3,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
616,7,LA,210,E,0,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
617,7,LA,210,E,1,1,2,1,1,buffer,69,11.5,2,2,10,10,70,50,Flat,Concrete Barrier,Concrete
618,7,LA,210,E,2,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
619,7,LA,210,E,59,1,1,0,2,mix,57,11.4,2,2,8,8,70,56,Flat,Concrete Barrier,Bridge Deck
620,7,LA,210,E,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
621,7,LA,210,E,1,1,2,1,1,buffer,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Concrete
622,7,LA,210,E,1,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
623,7,LA,210,E,3,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Concrete Barrier,Base & Surface
624,7,LA,210,E,6,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
625,7,LA,210,E,26,1,1,0,2,mix,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
626,7,LA,210,E,35,1,2,1,2,mix,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Concrete
627,7,LA,210,E,35,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
628,7,LA,210,E,41,1,2,1,1,buffer,60,12,2,2,8,8,70,6,Flat,Concrete Barrier,Bridge Deck
629,7,LA,210,E,53,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
630,7,LA,210,E,0,1,1,0,2,mix,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
631,7,LA,210,E,0,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
632,7,LA,210,E,1,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
633,7,LA,210,E,10,1,2,1,1,buffer,82,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
634,7,LA,210,E,12,1,2,1,1,buffer,55,11,3,3,8,8,70,19,Flat,Concrete Barrier,Concrete
635,7,LA,210,E,21,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
636,7,LA,210,E,32,1,2,1,3,mix,70,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
637,7,LA,210,E,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
638,7,LA,210,E,1,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
639,7,LA,210,E,3,1,2,1,3,mix,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
640,7,LA,210,E,20,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
641,7,LA,210,E,35,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
642,7,LA,210,E,36,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
643,7,LA,210,E,46,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
644,7,LA,210,E,0,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
645,7,LA,210,E,0,1,2,1,3,mix,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
646,7,LA,210,E,1,1,1,0,2,mix,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
647,7,LA,210,E,1,1,2,1,2,mix,57,11.4,2,2,8,8,70,56,Flat,Concrete Barrier,Bridge Deck
648,7,LA,210,E,2,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
649,7,LA,210,E,4,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
650,7,LA,210,E,4,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
651,7,LA,210,E,5,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
652,7,LA,210,E,5,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
653,7,LA,210,E,17,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
654,7,LA,210,E,0,1,2,1,1,buffer,60,12,12,12,10,10,70,66,Flat,Concrete Barrier,Concrete
655,7,LA,210,E,1,1,2,1,1,buffer,82,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
656,7,LA,210,E,4,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
657,7,LA,210,E,15,1,2,1,2,mix,70,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Bridge Deck
658,7,LA,210,E,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
659,7,LA,210,E,0,1,1,0,2,mix,70,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Bridge Deck
660,7,LA,210,E,0,1,2,1,3,mix,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
661,7,LA,210,E,58,1,2,1,1,buffer,69,11.5,2,2,10,10,70,50,Flat,Concrete Barrier,Concrete
662,7,LA,210,E,0,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
663,7,LA,210,E,2,1,2,1,1,buffer,59,11.8,2,2,10,10,70,52,Flat,Concrete Barrier,Concrete
664,7,LA,210,E,97,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
665,7,LA,210,E,0,1,2,1,1,buffer,70,11.7,2,2,10,10,70,56,Flat,Concrete Barrier,Concrete
666,7,LA,210,E,0,1,2,1,1,buffer,68,11.3,3,3,7,7,70,18,Flat,Concrete Barrier,Concrete
667,7,LA,210,E,13,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Concrete Barrier,Base & Surface
668,7,LA,210,E,35,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
669,7,LA,210,E,53,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
670,7,LA,210,W,1,1,2,1,1,buffer,59,11.8,2,2,9,9,70,52,Flat,Concrete Barrier,Concrete
671,7,LA,210,W,1,1,2,1,1,buffer,69,11.5,2,2,10,10,70,50,Flat,Concrete Barrier,Concrete
672,7,LA,210,W,0,1,2,1,1,buffer,52,13,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
673,7,LA,210,W,0,1,2,1,2,mix,52,13,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
674,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
675,7,LA,210,W,0,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
676,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
677,7,LA,210,W,0,1,2,1,1,buffer,52,13,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
678,7,LA,210,W,1,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,No Barriers,Base & Surface
679,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
680,7,LA,210,W,1,1,2,1,2,mix,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Bridge Deck
681,7,LA,210,W,10,1,1,0,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
682,7,LA,210,W,25,1,2,1,1,buffer,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Concrete
683,7,LA,210,W,0,1,2,1,1,buffer,57,11.4,2,2,9,9,70,67,Flat,Concrete Barrier,Concrete
684,7,LA,210,W,13,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
685,7,LA,210,W,93,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
686,7,LA,210,W,21,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
687,7,LA,210,W,67,1,2,1,1,buffer,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Concrete
688,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
689,7,LA,210,W,0,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
690,7,LA,210,W,2,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
691,7,LA,210,W,7,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
692,7,LA,210,W,7,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
693,7,LA,210,W,47,1,2,1,1,buffer,55,11,3,3,8,8,70,19,Flat,Concrete Barrier,Concrete
694,7,LA,210,W,52,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
695,7,LA,210,W,88,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
696,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
697,7,LA,210,W,0,1,2,1,1,buffer,57,11.4,2,2,9,9,70,67,Flat,Concrete Barrier,Concrete
698,7,LA,210,W,1,1,1,0,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
699,7,LA,210,W,3,1,2,1,2,mix,82,11.7,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
700,7,LA,210,W,5,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
701,7,LA,210,W,20,1,2,1,1,buffer,82,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
702,7,LA,210,W,44,1,1,0,1,continuous,70,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
703,7,LA,210,W,49,1,2,1,1,buffer,52,13,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
704,7,LA,210,W,61,1,2,1,1,buffer,55,11,3,3,8,8,70,19,Flat,Concrete Barrier,Concrete
705,7,LA,210,W,8,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
706,7,LA,210,W,11,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
707,7,LA,210,W,41,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
708,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
709,7,LA,210,W,0,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
710,7,LA,210,W,0,1,2,1,2,mix,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
711,7,LA,210,W,18,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
712,7,LA,210,W,30,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
713,7,LA,210,W,108,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
714,7,LA,210,W,0,1,1,0,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
715,7,LA,210,W,0,1,1,0,3,mix,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Bridge Deck
716,7,LA,210,W,0,1,2,1,1,buffer,52,13,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
717,7,LA,210,W,0,1,2,1,3,mix,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
718,7,LA,210,W,1,1,2,1,2,mix,70,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
719,7,LA,210,W,2,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
720,7,LA,210,W,21,1,2,1,1,buffer,94,11.8,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
721,7,LA,210,W,48,1,2,1,1,buffer,69,11.5,2,2,10,10,70,50,Flat,Concrete Barrier,Concrete
722,7,LA,210,W,1,1,1,0,2,mix,57,11.4,2,2,9,9,70,56,Flat,Concrete Barrier,Concrete
723,7,LA,210,W,3,1,2,1,1,buffer,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
724,7,LA,210,W,4,1,2,1,1,buffer,59,11.8,2,2,9,9,70,52,Flat,Concrete Barrier,Concrete
725,7,LA,210,W,12,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
726,7,LA,210,W,25,1,2,1,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
727,7,LA,210,W,58,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
728,7,LA,210,W,0,1,2,1,1,buffer,72,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
729,7,LA,210,W,0,1,2,1,3,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
730,7,LA,210,W,0,1,2,1,1,buffer,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Bridge Deck
731,7,LA,210,W,0,1,2,1,1,buffer,59,11.8,2,2,9,9,70,56,Flat,Concrete Barrier,Concrete
732,7,LA,210,W,6,1,1,0,2,mix,82,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
733,7,LA,210,W,38,1,1,0,2,mix,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Bridge Deck
734,7,LA,210,W,40,1,2,1,2,mix,57,11.4,2,2,9,9,70,56,Flat,Concrete Barrier,Concrete
735,7,LA,210,W,84,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
736,7,LA,210,W,97,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
737,7,LA,210,W,0,1,2,1,1,buffer,82,11.7,2,2,10,10,70,46,Flat,Concrete Barrier,Concrete
738,7,LA,210,W,1,1,2,1,1,buffer,52,13,11,11,10,10,70,24,Flat,Cable Barriers,Concrete
739,7,LA,210,W,2,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
740,7,LA,210,W,3,1,2,1,1,buffer,69,11.5,2,2,10,10,70,50,Flat,Concrete Barrier,Concrete
741,7,LA,210,W,4,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
742,7,LA,210,W,13,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
743,7,LA,210,W,0,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
744,7,LA,210,W,0,1,1,0,2,mix,52,13,11,11,10,10,70,46,Flat,Concrete Barrier,Base & Surface
745,7,LA,210,W,1,1,2,1,1,buffer,70,11.7,2,2,10,10,70,40,Flat,Concrete Barrier,Concrete
746,7,LA,210,W,0,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
747,7,LA,210,W,30,1,2,1,1,buffer,59,11.8,2,2,9,9,70,52,Flat,Concrete Barrier,Concrete
748,7,LA,210,W,33,1,1,0,2,mix,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
749,7,LA,210,W,49,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
750,7,LA,210,W,0,1,1,0,2,mix,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
751,7,LA,210,W,4,1,2,1,1,buffer,72,12,2,2,10,10,70,30,Flat,Concrete Barrier,Bridge Deck
752,7,LA,210,W,25,1,2,1,1,buffer,52,13,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
753,7,LA,210,W,52,1,1,0,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
754,7,LA,210,W,3,1,2,1,1,buffer,64,12.8,22,22,10,10,70,46,Flat,Concrete Barrier,Base & Surface
755,7,LA,210,W,4,1,1,0,2,mix,60,12,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
756,7,LA,210,W,91,1,2,1,1,buffer,60,12,2,2,10,10,70,6,Flat,Cable Barriers,Bridge Deck
757,7,LA,405,N,0,1,2,1,3,mix,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
758,7,LA,405,N,32,1,2,1,2,mix,48,12,10,10,10,10,70,22,Flat,Concrete Barrier,Concrete
759,7,LA,405,N,41,1,2,1,1,buffer,56,11.2,0,0,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
760,7,LA,405,N,1,1,2,1,1,buffer,48,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
761,7,LA,405,N,0,1,2,1,1,buffer,48,12,10,10,10,10,70,13,Mountainous,Concrete Barrier,Concrete
762,7,LA,405,N,15,1,2,1,1,buffer,67,11.2,2,2,0,0,70,8,Mountainous,Concrete Barrier,Concrete
763,7,LA,405,N,35,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
764,7,LA,405,N,0,1,2,1,1,buffer,45,11.3,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
765,7,LA,405,N,0,1,2,1,1,buffer,60,12,10,10,10,10,70,22,Flat,Concrete Barrier,Concrete
766,7,LA,405,N,1,1,2,1,1,buffer,56,11.2,2,2,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
767,7,LA,405,N,1,1,2,1,1,buffer,56,11.2,15,15,10,10,70,6,Flat,Concrete Barrier,Concrete
768,7,LA,405,N,5,1,2,1,2,mix,56,11.2,2,2,10,10,70,6,Rolling,Concrete Barrier,Concrete
769,7,LA,405,N,12,1,2,1,1,buffer,36,12,8,8,10,10,70,22,Flat,Concrete Barrier,Concrete
770,7,LA,405,N,16,1,2,1,1,buffer,67,11.2,2,2,10,10,70,20,Flat,Concrete Barrier,Concrete
771,7,LA,405,N,33,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
772,7,LA,405,N,35,1,2,1,2,mix,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
773,7,LA,405,N,66,1,1,0,2,mix,56,11.2,2,2,10,10,70,14,Mountainous,Concrete Barrier,Base & Surface
774,7,LA,405,N,0,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
775,7,LA,405,N,1,1,2,1,1,buffer,55,11,3,3,10,10,70,8,Flat,Concrete Barrier,Concrete
776,7,LA,405,N,4,1,2,1,1,buffer,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
777,7,LA,405,N,1,1,2,1,2,mix,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
778,7,LA,405,N,4,1,1,0,2,mix,60,12,10,10,10,10,70,22,Flat,Concrete Barrier,Bridge Deck
779,7,LA,405,N,13,1,2,1,1,buffer,48,12,10,10,10,10,70,22,Flat,Concrete Barrier,Concrete
780,7,LA,405,N,14,1,1,0,1,continuous,56,11.2,2,2,10,10,70,14,Mountainous,Concrete Barrier,Base & Surface
781,7,LA,405,N,15,1,2,1,2,mix,56,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
782,7,LA,405,N,57,1,1,0,2,mix,56,11.2,2,2,10,10,70,14,Mountainous,Concrete Barrier,Base & Surface
783,7,LA,405,N,0,1,1,0,1,continuous,56,11.2,2,2,10,10,70,14,Mountainous,Concrete Barrier,Concrete
784,7,LA,405,N,1,1,2,1,1,buffer,56,11.2,15,15,10,10,70,6,Flat,Concrete Barrier,Concrete
785,7,LA,405,N,9,1,2,1,1,buffer,48,12,10,10,10,10,70,22,Flat,Concrete Barrier,Concrete
786,7,LA,405,N,27,1,1,0,2,mix,56,11.2,15,15,10,10,70,6,Flat,Concrete Barrier,Concrete
787,7,LA,405,N,41,1,1,0,2,mix,56,11.2,2,2,0,0,70,6,Flat,Concrete Barrier,Bridge Deck
788,7,LA,405,N,53,1,2,1,2,mix,56,11.2,0,0,10,10,70,6,Flat,Concrete Barrier,Bridge Deck
789,7,LA,405,N,0,1,2,1,1,buffer,45,11.3,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
790,7,LA,405,N,0,1,2,1,2,mix,56,11.2,2,2,10,10,70,14,Mountainous,Concrete Barrier,Base & Surface
791,7,LA,405,N,2,1,2,1,1,buffer,67,11.2,2,2,0,0,70,6,Flat,Concrete Barrier,Concrete
792,7,LA,405,N,2,1,2,1,1,buffer,67,11.2,2,2,10,10,70,6,Flat,Concrete Barrier,Concrete
793,7,LA,405,N,3,1,2,1,1,buffer,56,11.2,2,2,10,10,70,14,Mountainous,Concrete Barrier,Base & Surface
794,7,LA,405,N,3,1,1,0,1,continuous,56,11.2,8,8,10,10,70,22,Mountainous,Concrete Barrier,Base & Surface
795,7,LA,405,N,3,1,2,1,1,buffer,67,11.2,2,2,2,2,70,14,Mountainous,Concrete Barrier,Concrete
796,7,LA,405,N,26,1,2,1,1,buffer,78,11.1,2,2,0,0,70,6,Flat,Concrete Barrier,Concrete
797,7,LA,405,N,35,1,2,1,1,buffer,55,11,3,3,10,10,70,8,Flat,Concrete Barrier,Bridge Deck
